DEL komplett + Topic Modeling	Wikidata Ids (zu DEL-Begriffen)	Wikidata URLs	Wikidata Label (fr)	Wikidata Label (en)
Absolutisme �clair�	Q219934	https://www.wikidata.org/wiki/Q219934	despotisme �clair�	enlightened absolutism
Abus de mots	Q1057682	https://www.wikidata.org/wiki/Q1057682	abus de langage	malapropism
acad�mie	Q162633	https://www.wikidata.org/wiki/Q162633	acad�mie	acadamy
Accouchement	Q34581	https://www.wikidata.org/wiki/Q34581	accouchement	childbirth
Acoustique	Q82811	https://www.wikidata.org/wiki/Q82811	acoustique	acoustics
Administration	Q3754526	https://www.wikidata.org/wiki/Q3754526	administration	administration
Affinit�	Q3233502	https://www.wikidata.org/wiki/Q3233502	Affinit�	affinity
Afrique	Q2826196	https://www.wikidata.org/wiki/Q2826196	Afrique	Afrique
Agriculture	Q11451	https://www.wikidata.org/wiki/Q11451	Agriculture	agriculture
Alchimie	Q39689	https://www.wikidata.org/wiki/Q39689	Alchimie	alchemy
Alg�bre	Q3968	https://www.wikidata.org/wiki/Q3968	Alg�bre	algebra
Alimentation	Q2836942	https://www.wikidata.org/wiki/Q2836942	Alimentation	Alimentation
All�gorie	Q18535	https://www.wikidata.org/wiki/Q18535	All�gorie	allegory
Allemagne	Q183	https://www.wikidata.org/wiki/Q183?wprov=srpw1_1	Allemagne	Germany
Allemagnes et Saint-Empire	Q12548	https://www.wikidata.org/wiki/Q12548	Saint-Empire romain germanique	Holy Roman Empire
Am�rique du Nord	Q49	https://www.wikidata.org/wiki/Q49	Am�rique du Nord	North America
Am�rique latine	Q12585	https://www.wikidata.org/wiki/Q12585	Am�rique latine	Latin America
Amour	Q316	https://www.wikidata.org/wiki/Q316	Amour	Love
Anarchie	Q31895	https://www.wikidata.org/wiki/Q31895	anarchie	Anarchy
Anatomie	Q514	https://www.wikidata.org/wiki/Q514	Anatomie	Anatomy
Querelle des Anciens et des Modernes 	Q267863	https://www.wikidata.org/wiki/Q267863	Querelle des Anciens et des Modernes 	Quarrel of the Ancients and the Moderns 
Angleterre	Q21	https://www.wikidata.org/wiki/Q21	Angleterre	England
Anti-Lumi�res 	Q457998	https://www.wikidata.org/wiki/Q457998	Anti-Lumi�res	Counter-Enlightenment
Antique	Q486761	https://www.wikidata.org/wiki/Q486761	antiquit� (classique)	(Classic) antiquity
Apolog�tique	Q191776	https://www.wikidata.org/wiki/Q191776	apolog�tique	Apologetics
Arch�ologie	Q23498	https://www.wikidata.org/wiki/Q23498	Arch�ologie	archeology
Architecture	Q12271	https://www.wikidata.org/wiki/Q12271?wprov=srpw1_0	Architecture	architecture
Arm�e 	Q37726	https://www.wikidata.org/wiki/Q37726	arm�e de terre 	army
Art	Q735	https://www.wikidata.org/wiki/Q735	art	art
Astronomie 	Q333	https://www.wikidata.org/wiki/Q333	Astronomie	astronomy
Atelier 	Q2072285	https://www.wikidata.org/wiki/Q2072285	Atelier	atelier
Ath�isme 	Q7066	https://www.wikidata.org/wiki/Q7066	ath�isme	atheism
Attraction	Q24238252	https://www.wikidata.org/wiki/Q24238252	Attraction	attraction
Autobiographie 	Q4184	https://www.wikidata.org/wiki/Q4184	autobiographie	autobiography
Aventure	Q1436734	https://www.wikidata.org/wiki/Q1436734	adventure	adventure
Balistique 	Q184631	https://www.wikidata.org/wiki/Q184631	Balistique	balistics
Balkans 	Q23522	https://www.wikidata.org/wiki/Q23522?wprov=srpw1_0	Balkans	Balkans
Banque	Q22687	https://www.wikidata.org/wiki/Q22687	Banque	bank
Barbare	Q134313	https://www.wikidata.org/wiki/Q134313	Barbare	barbarian
noble sauvage	Q829689	https://www.wikidata.org/wiki/Q829689	bon sauvage	noble savage
Baroque 	Q37853	https://www.wikidata.org/wiki/Q37853	Baroque	Baroque
Beaut�	Q7242	https://www.wikidata.org/wiki/Q7242	Beaut�	Beauty
Bible 	Q1845	https://www.wikidata.org/wiki/Q1845	Bible	Bible
Bibliophilie 	Q18120029	https://www.wikidata.org/wiki/Q18120029	Bibliophile	Bibiliophile
Biblioth�que 	Q7075	https://www.wikidata.org/wiki/Q7075	Biblioth�que	Library
Bienfaisance 	Q84426996	https://www.wikidata.org/wiki/Q84426996	Bienfaisance	beneficience
Bonheur 	Q8	https://www.wikidata.org/wiki/Q8	Bonheur	happiness
Botanique	Q441	https://www.wikidata.org/wiki/Q441	Botanique 	botany
Boudoir 	Q62238	https://www.wikidata.org/wiki/Q62238	boudoir	boudoir
Bouffon	Q215548	https://www.wikidata.org/wiki/Q215548	Bouffon	jester
Bureaucratie	Q72468	https://www.wikidata.org/wiki/Q72468	Bureaucratie	bureaucracy
cabinet de curiosit�	Q1146002	https://www.wikidata.org/wiki/Q1146002	cabinet de curiosit�s 	cabinet of curiosities 
Caf�	Q30022	https://www.wikidata.org/wiki/Q30022	Caf� 	coffeehouse
Canal	Q12284	https://www.wikidata.org/wiki/Q12284	canal	canal
