				P31	P59	FR	EN	DE			P25	P2	P2RP14	
new	item										Q25	Q26	Q25	
MiMoText Label (fr)	MiMoText Label (en)	MiMoText Label (de)	Wikidata IDs	Wikidata URLs		Wikidata Label (fr)	Wikidata Label (en)	Wikidata Label (de)	Quelle (intern)					
			Q2826196	https://www.wikidata.org/wiki/Q15		Afrique	Africa	Afrika	DEL	exact match				
			Q183	https://www.wikidata.org/wiki/Q183		Allemagne	Germany	Deutschland	DEL	exact match				
				https://www.wikidata.org/wiki/Q828		Amérique	Americas	Amerika	BGRF	exact match				
			Q49	https://www.wikidata.org/wiki/Q49		Amérique du Nord	North America	Nordamerika	DEL	exact match				
				https://www.wikidata.org/wiki/Q18		Amérique du Sud	South America	Südamerika	Seklit.	exact match				
			Q12585	https://www.wikidata.org/wiki/Q12585		Amérique latine	Latin America	Lateinamerika	DEL	exact match				
			Q234081	https://www.wikidata.org/wiki/Q234081		Ancien régime	Ancien régime	Ancien régime	Seklit	exact match				
			Q21	https://www.wikidata.org/wiki/Q21		Angleterre	England	England	BGRF/DEL	exact match				
			Q2072285	https://www.wikidata.org/wiki/Q2072285		atelier	atelier	Atelier	DEL	exact match				
Balkans	Balkans	Balkan	Q23522		https://www.wikidata.org/wiki/Q23522				DEL	close match				
			Q62238	https://www.wikidata.org/wiki/Q62238		boudoir	boudoir	Boudoir	DEL	exact match				
cabinet de curiosité	cabinet of curiosities	Kuriositätenkabinett	Q1146002		https://www.wikidata.org/wiki/Q1146002				DEL	close match				
			Q30022	https://www.wikidata.org/wiki/Q30022		Café	coffeehouse	Café	DEL	exact match				
			Q12284	https://www.wikidata.org/wiki/Q12284		canal	canal	Kanal	DEL	exact match				
			Q29520	https://www.wikidata.org/wiki/Q29520		chine	china	China	DEL	exact match				
				https://www.wikidata.org/wiki/Q4655519		coche	coach	Kutsche	BGRF	exact match				
cour	court	Hof	Q1134237		https://www.wikidata.org/wiki/Q1134237				DEL	close match				
			Q35	https://www.wikidata.org/wiki/Q35		Danemark	denmark	Dänemark	DEL	exact match				
				https://www.wikidata.org/wiki/Q8514		désert	desert	Wüste	BGRF	exact match				
			Q22	https://www.wikidata.org/wiki/Q22		Écosse	Scotland	Schottland	DEL	exact match				
				https://www.wikidata.org/wiki/Q79		Égypte	Egypte	Ägypten	BGRF	exact match				
				https://www.wikidata.org/wiki/Q564		enfer	hell	Hölle	BGRF	exact match				
				https://www.wikidata.org/wiki/Q29		Espagne	Spain	Spanien	BGRF/DEL	exact match				
			Q46	https://www.wikidata.org/wiki/Q46		europe	europe	Europa	BGRF/DEL	exact match				
			Q288514	https://www.wikidata.org/wiki/Q288514		Foire	fair	Jahrmarkt	DEL	exact match				
			Q142	https://www.wikidata.org/wiki/Q142		France	France	Frankreich	BGRF/DEL	exact match				
				https://www.wikidata.org/wiki/Q41		Grèce	Greece	Griechenland	BGRF	exact match				
grotte	grotto	Grotte			https://www.wikidata.org/wiki/Q1131329				BGRF	close match				
grotte	cave	Höhle			https://www.wikidata.org/wiki/Q35509				BGRF	close match				
Hollande	Netherlands	Niederlande	Q55		https://www.wikidata.org/wiki/Q55				DEL	close match				
