MiMoText Label (fr)	cultural pessimism	MiMoText Label (de)	Wikidata Ids (zu DEL-Begriffen)	Wikidata URLs	Wikidata Label (fr)	Wikidata Label (en)	Wikidata Label (de)	Quelle
(art) gothique	Gothic (art)	Gotik	Q46825	https://www.wikidata.org/wiki/Q46825	(Art) gothique	Gothic (art)	Gotik	DEL
absolutisme éclairé	enlightened absolutism	aufgeklärter Absolutismus	Q219934	https://www.wikidata.org/wiki/Q219934	despotisme éclairé	enlightened absolutism	aufgeklärter Absolutismus	DEL
abus de mots	malapropism	Malapropismus	Q1057682	https://www.wikidata.org/wiki/Q1057682	abus de langage	malapropism	Malapropismus	DEL
académie	academy	Akademie	Q162633	https://www.wikidata.org/wiki/Q162633	académie	acadamy	Akademie	DEL
accouchement	childbirth	Geburt	Q34581	https://www.wikidata.org/wiki/Q34581	accouchement	childbirth	Geburt	DEL
acoustique	acoustics	Akustik	Q82811	https://www.wikidata.org/wiki/Q82811	acoustique	acoustics	Akustik	DEL
administration	administration	Verwaltung	Q3754526	https://www.wikidata.org/wiki/Q3754526	administration	administration		DEL
affinité	affinity	Affinität	Q3233502	https://www.wikidata.org/wiki/Q3233502	affinité	affinity		DEL
Afrique	Africa	Afrika	Q2826196	https://www.wikidata.org/wiki/Q15	Afrique	Africa	Afrique	DEL
agriculture	agriculture	Landwirtschaft	Q11451	https://www.wikidata.org/wiki/Q11451	agriculture	agriculture	Landwirtschaft	DEL
aide sociale	welfare	Gemeinwohl	Q12002092	https://www.wikidata.org/wiki/Q12002092	aide sociale	welfare	Gemeinwohl	Seklit
alchimie	alchemy	Alchemie	Q39689	https://www.wikidata.org/wiki/Q39689	alchimie	alchemy	Alchemie	DEL
algèbre	algebra	Algebra	Q3968	https://www.wikidata.org/wiki/Q3968	algèbre	algebra	Algebra	DEL
alimentation	aliment	Nahrung	Q213449	https://www.wikidata.org/wiki/Q213449	alimentation	eating	Essen	DEL
allégorie	allegory	Allegorie	Q18535	https://www.wikidata.org/wiki/Q18535	allégorie	allegory	Allegorie	DEL
Allemagne	Germany	Deutschland	Q183	https://www.wikidata.org/wiki/Q183	Allemagne	Germany	Deutschland	DEL
âme	soul	Seele	Q9165	https://www.wikidata.org/wiki/Q9165	âme	soul	Seele	Seklit
Amérique du Nord	North America	Nordamerika	Q49	https://www.wikidata.org/wiki/Q49	Amériquee du Nord	North America	Nordamerika	DEL
Amérique latine	Latin America	Lateinamerika	Q12585	https://www.wikidata.org/wiki/Q12585	Amérique latine	Latin America	Lateinamerika	DEL
amitié	friendship	Freundschaft	Q491	https://www.wikidata.org/wiki/Q491	amitié	friendship	Freundschaft	Seklit
