MiMoText Label (fr)	MiMoText Label (en)	MiMoText Label (de)	MiMoTextBase-ID
allégorie	allegory	Allegorie	Q3895 
analyses des passions	analysis of passions	Analyse von Gefühlen	Q3896 
ambiguïté 	ambiguity 	Mehrdeutigkeit 	Q3915 
comique	comic	Komik	Q3916 
considérations politiques	political considerations	politische Überlegungen	Q3917 
critique	criticism	Kritik	Q3902 
didactique	didactics	Didaktik	Q3918 
discussions littéraires	literary discussions	literarische Diskussionen	Q3919 
éléments (pseudo-)historiques	(pseudo-)historical elements	(pseudo-)historische Elemente	Q3920 
morale	morality	Moral	Q3921 
philosophie	philosophy	Philosophie	Q3922 
satire	satire	Satire	Q3906 
orienté vers l'avenir 	future-oriented	zukunftsbezogen	Q3952
