MiMoText Label (fr)	MiMoText Label (en)	MiMoText Label (de)
allégorie	allegory	Allegorie
apologie	apology	Apologetik  
attachement à la nature 	love of nature	Naturverbundenheit
conte de fée	fantastic elements	märchenhafte Elemente
contes	narration	Erzählung 
couleur locale	dialect	Dialekt
critique	criticism	Kritik
manière imitée (parodie)	artistic imitation 	Nachahmung
mélancolie	melancholy	Melancholie
précisions pornographiques	pornography	Pornographie
satire	satire	Satire
sensibilité	sensibility	Sensibilität 
style élevé	eloquent tone	Sprachfertigkeit
style épique	epic tone	epischer Tonfall
style poétique	poetic tone	poetischer Tonfall
tendances réalistes	realistic tendancies	realistische Tendenzen
ton gai	cheerful tone	heiterer Tonfall
ton sentimental	sentimental tone	sentimentaler Tonfall
vieux langage	ancient languages	historische Sprachelemente
