MiMoText Label (fr)	MiMoText Label (en)	MiMoText Label (de)	MiMoTextBase_ID
allégorie	allegory	Allegorie	Q3895 
apologie	apology	Apologetik  	Q3897
attachement à la nature 	love of nature	Naturverbundenheit	Q3898
conte de fée	fantastic elements	märchenhafte Elemente	Q3899
contes	narration	Erzählung 	Q3900
couleur locale	dialect	Dialekt	Q3901
critique	criticism	Kritik	Q3902
manière imitée (parodie)	artistic imitation 	Nachahmung	Q3903
mélancolie	melancholy	Melancholie	Q3904
précisions pornographiques	pornography	Pornographie	Q3905
satire	satire	Satire	Q3906
sensibilité	sensibility	Sensibilität 	Q3907
style élevé	eloquent tone	Sprachfertigkeit	Q3908
style épique	epic tone	epischer Tonfall	Q3909
style poétique	poetic tone	poetischer Tonfall	Q3910
tendances réalistes	realistic tendancies	realistische Tendenzen	Q3911
ton gai	cheerful tone	heiterer Tonfall	Q3912
ton sentimental	sentimental tone	sentimentaler Tonfall	Q3913
vieux langage	ancient languages	historische Sprachelemente	Q3914
